0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.40599984,-0.11999998,-1.5379999,-0.7950002,-0.5310004,-0.41,-0.325,-0.625,3.5256753,-2.710976,-0.40500003,-1.0000001,0.00500004,-0.26000002,-0.28999996,-1.2250001,-3.0749993,-1.4180001,-1.2259653,-0.49499997
-0.06190183,-0.61500007,-1.301383,-0.11000001,-1.2522017,-0.47,-0.92700034,-0.8900005,2.4606538,0.38009882,0.14500003,-1.4590007,-0.14500016,-0.36499995,-0.398,-0.059999906,-3.117898,-2.4484994,-0.82093185,-0.064999886
-1.5766023,-0.34499997,-1.4593207,-0.5319999,-2.9667985,-0.046999983,-0.725,-0.78199995,-0.10431925,0.53796566,-0.39479992,-1.2070003,-1.3720001,-0.14499992,-0.8549334,0.13800007,-1.1256189,1.9092962,-1.4563024,-0.37099993
-0.97991705,-1.446134,-0.22046274,-0.95632035,1.4200552,-1.8809004,-0.5458633,0.012417886,-0.3444705,4.1215672,-1.3770028,-1.2479528,-1.4037,-1.126302,-0.6423368,-1.5187843,-1.0678531,-0.58848846,-0.5485303,-0.81790143
-0.33044922,-0.57700044,-0.5771711,-0.6228006,3.362232,-1.2900001,1.0481992,0.5487371,-0.31447795,1.6845585,-2.3133,-0.45316294,-0.2884997,-2.1453006,0.3760035,-0.9443004,-1.4250546,-1.4768379,-1.7885207,-3.3423305e-05
-0.33648017,-0.9898003,-0.26661518,-0.23020032,3.0517607,-0.50499994,1.005702,0.60674846,0.07517068,1.6137166,-1.1872003,-0.042300418,0.0037009642,-1.0274003,0.1210018,-1.2132,-0.7648156,-1.769431,-1.1877643,0.1065004
-0.5419998,-0.04999999,-1.0128084,-0.9600001,-1.046,-0.63000005,-0.6800001,-0.8300001,3.3287332,-3.1850963,-0.09999999,-0.63000005,-0.24999997,-0.46,-0.66,-0.86000013,-2.6599998,-1.4850001,-1.2649804,-0.64000005
-1.3971821,-1.3300012,-0.2527404,-1.3430676,-0.04671832,-1.4860003,-1.9009591,-0.5199715,-0.76106834,3.7884445,-1.6442682,-1.7630359,-1.7665673,-1.0291033,-0.91023767,-1.0763001,-1.0148005,-0.13177554,-0.8979664,-1.2715563
0.17881724,-0.59690094,-0.5938471,-0.7614998,-0.79486966,-1.1540004,-0.65615284,-1.9131037,-0.26117557,2.4608457,-0.622838,-1.0982974,-0.9059007,-0.2997997,0.20649979,-1.269501,-0.94400066,-0.29149443,-0.7743115,-0.71440095
-2.3198032,-0.25900024,-1.8640647,-0.37079966,-1.4788605,-0.13700005,-1.321001,-1.106501,-0.59411347,2.2052612,-0.57250005,-0.46980014,-0.32800013,-0.40800014,-0.75326735,0.81980073,1.1897509,1.0738815,-0.9986316,0.14350025
-0.42278257,-0.6364998,-0.362873,-0.72870135,-0.052811056,-1.1277016,-1.8018018,-1.0997791,-0.50707054,3.6554086,-1.5719993,-1.1829021,-0.9373002,-0.5835003,-0.9154012,-1.4364997,-1.2406932,-0.2944449,-0.94892687,-1.1961998
-1.4225367,-0.29200003,-2.0333228,-1.034,-0.39406893,-0.27699995,-0.5369999,-0.49100086,2.4588664,1.1105741,-0.15899983,-1.5510007,-0.534,0.29800016,-0.9110004,-1.0820001,-2.4351282,-2.1809998,-1.0738202,-0.6070003
