0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.47999993,-1.605,0.0,-0.4,-0.26,-2.0600002,-1.15,-1.016,4.203873,-0.32286495,-1.1500001,-2.7633235,-0.44,-0.35999995,-0.99172956,0.7851168,0.109779075,1.0474943,-0.2,-0.2,-0.86399996,-0.91999996,-0.73740035,-0.6,-0.4,-0.58,0.27700013,-2.0600002,-0.2,-0.2,-2.8385763,-0.31,-0.4,0.029999858,-3.0499997,-2.596,-0.37999997,-0.060000002,-0.6,-0.2,0.8610004,-0.060000002,-1.66,-0.26,1.9549016,-1.3380011,-1.4835999,-1.32,-0.038300358,-0.91601956
-1.8573903,-1.6687491,-0.13999999,-0.11999996,-0.13459998,0.103887506,-1.4015001,-2.8397508,2.9180634,0.4260049,-0.46399325,-1.2117623,-0.11999999,-1.2042994,-0.47828054,0.45079756,0.17613071,0.36575252,0.08000001,0.16000001,-0.8211908,-0.24999994,-0.032594137,-0.08599996,-0.52999985,-1.3319998,1.3042816,-1.7002484,-0.26,-0.10000001,0.7998345,-0.08649991,-0.36,0.29368648,-2.6040516,-0.7106644,-1.2855002,0.824,-0.009999961,-0.54,0.23895848,-0.16000004,-2.6890008,-0.146,1.2578728,0.15983175,0.41439995,-1.1097012,-0.068856634,-1.1791004
-1.4138505,-1.1200004,-0.41000003,-0.51,-0.217,0.12437909,-1.0790014,-2.2738178,2.9296355,0.64087373,-1.2478013,-1.4680389,-0.71,-1.6244998,-0.623953,0.47975788,0.17060809,0.3355184,0.39,-0.010000005,-1.1419985,-0.74999994,-0.3407089,-0.029999964,-0.84999996,-0.80999994,1.1225786,-1.1504989,-0.4,-0.07000001,0.7719631,0.3270001,-0.46999997,0.15099062,-2.119805,-0.89449376,-0.95769924,0.060000032,0.26000002,-0.61,0.49944162,-0.060000002,-1.5402006,0.07000004,1.4686193,0.371016,0.34059894,-2.300999,0.72346944,-1.8170958
-1.5042001,-2.1228805,-0.2,-0.8,0.017999979,-0.50932854,-0.3474997,-1.1762494,2.718523,-0.5670982,-0.6400664,-1.0687244,-0.04,-0.5209998,-0.7699362,0.64969873,-0.08994142,-0.28665987,0.0,0.0,-0.3858487,-0.29000002,0.0766439,-0.040000007,-0.65,-1.1999999,1.2569947,-1.1869996,-0.2,-0.03999999,1.171006,-0.504,-1.13,-0.37938085,-1.7980479,-0.90112334,-0.30248705,-0.02000001,-0.2,-0.25,0.38300088,0.09,-2.6290007,-0.31,0.6138459,-0.29241455,-0.04590019,-1.0370002,0.017848369,-0.980247
-0.47600028,-1.9600002,-0.2,-0.060000002,-0.2,-0.5179999,-0.9299999,-1.8930001,3.5826175,-0.009000143,-1.0379999,-3.8034976,0.0,-0.8299998,-1.1800016,0.53849036,0.4655004,-0.7374969,-0.2,0.0,0.7335012,-0.28,-0.87249744,0.08,-0.78000003,-0.88,0.360002,-2.26,0.0,0.020000001,-2.0339704,-0.08,-0.2,0.5605019,-3.037,-1.8130043,-0.60299987,-0.62,-0.18,-0.4,0.522006,-0.2,-2.1100001,-0.24,1.5609968,-1.0689996,-1.3940014,-1.7400001,0.929001,-1.2939996
-0.7669996,-1.9935004,-0.2,-0.2,-0.14,-1.2364982,-0.32599968,-1.4996098,3.9193995,-0.10850164,-1.4160416,-2.032952,-0.03999999,-1.0109998,-0.8214467,0.7315382,0.24639831,0.13795117,-0.2,-0.2,-1.6677994,-0.28,-0.0106563205,-0.48000002,-0.3,-0.78,1.2819661,-1.82,-0.2,0.39000005,-0.7569833,-0.13499999,-0.2,-0.042331066,-2.9139998,-0.68704534,-0.5889998,-0.18,-0.1,-0.4,0.5697345,-0.2,-1.7960002,-0.28,1.3379762,-0.6384999,-0.23158054,-2.061,0.42176443,-1.7191
-1.0500001,-1.74,-0.4,-0.2,0.21000002,-1.2270012,-0.53999984,-1.812,3.3399665,-0.16949783,-0.66849947,-3.452501,-0.2,-0.7669998,-0.47599977,1.0795549,0.18289866,0.21965009,-0.2,-0.6,-0.22769968,-0.5,0.103400335,-0.6,-0.4,-0.54,-0.22800063,-2.0200002,-0.2,-0.2,-2.135781,-0.42,-0.2,-0.2655002,-2.6189997,-1.292996,-0.67199993,-0.44,-0.2,-0.2,0.5860167,-0.07999998,-2.1060002,-0.03999999,1.7483598,-1.292001,-0.8769996,-1.1240001,1.0562484,-1.2044995
-1.0280012,-2.7310011,-0.2,-0.2,-0.23999998,-0.33200112,-1.9075,-1.7384,2.4002564,0.6172296,-1.6844997,-1.2633967,-0.2,-1.1589997,-0.27649292,0.58771956,0.59465784,0.50031817,0.0,0.0,-1.1693021,-0.52,-0.37669232,-0.54,-0.86,-0.97999996,0.26869076,-2.1174994,-0.03999999,0.0,-0.5327545,-0.03700003,-0.3,0.64382297,-3.837,-0.68939495,-0.9920001,-0.11999999,-0.2,-0.2,0.91137034,-0.03999999,-2.0049999,1.4901161e-08,1.3476483,-0.7817985,0.63200873,-1.5100002,0.5289062,-1.4144987
-0.74189234,-1.5109053,-0.21000001,-0.26,-0.06300006,-0.4435898,-1.2672017,-2.0370002,-2.1750014,0.9614442,-0.66849715,-2.9579985,0.09900001,1.681799,-1.0965474,0.008772565,-0.1552789,-0.91449326,-0.33,-0.402,-0.6459953,-0.45,-1.5814993,-0.6,-0.252,-0.77,1.070818,1.1004089,0.22800003,-0.4,-1.0688723,-0.6739996,-0.12000001,0.6038036,-0.09900534,-0.36849308,-1.2509984,-0.46000004,0.30600002,-0.19600001,0.18199596,-0.060000002,-2.8700006,-0.84,3.1118715,-0.018313454,0.38690028,-1.1585997,-1.9000001,-0.93449956
-2.4818976,-1.0045023,-0.21000001,-0.2,-0.9280001,-1.1913931,-2.4820955,-1.5489999,-1.7529981,1.6473768,-1.0515008,-2.143,-0.4,1.8312597,-1.1570033,-0.11999911,0.28800035,-1.1144977,-0.4,-0.192,-0.7689006,-0.66,-2.128,-0.2,-0.193,-1.0600001,1.147883,1.3625621,0.289,-0.4,-1.3656639,-0.56099993,-0.62,0.30400142,0.016496856,-0.33009404,-0.98199975,-0.2,0.14510001,-0.4,0.7782133,-0.4,-2.5500004,-0.24,2.4282236,0.57093024,-0.013200191,-2.6841521,-1.0650002,-0.5719997
