0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2.4314878,0.3615895,-0.24868697,-0.63049227,-0.3511233,-0.50815594,-0.29443744,-1.0470215,-0.42969143,0.0054169,0.050858825,-0.5448758,0.12708455,-0.46607915,-0.45511383,-0.30659997,0.22345343,0.19644466,-0.38540077,-0.35574982
0.7752901,0.25375018,0.97941154,-0.5611253,-0.9519862,-0.7121111,1.4875057,-1.286417,0.117372125,-2.242918,-1.095217,-1.2533005,-1.9964888,-0.971288,-0.25669202,-1.326242,-0.7718795,-0.015250065,-0.14164661,-0.7427407
-2.6743817,-1.474798,0.15360013,2.0836139,-1.9359968,-0.97878474,-0.17260024,-0.8425962,0.36040038,-1.5975993,-1.1551994,-0.28440017,-0.7894001,0.62660074,-1.2609893,-0.9037998,0.1509998,-1.9363979,-0.070799336,-0.75199986
-0.14999098,-0.62583923,0.091273054,-0.1155895,0.6990379,-0.42604658,0.707264,-0.37215686,-1.1932137,-2.4552507,0.12637827,-1.7692499,-2.3450577,-0.9756521,-0.13750449,-1.4250351,1.0981808,-0.97994643,-0.34210995,-1.1031376
-2.0589886,-0.69099903,-0.23000056,-0.47100055,-0.863999,-0.97699636,-0.9529992,-0.31399944,-0.7339997,-0.7019998,-0.89549965,-0.43250024,-1.3059957,-0.53800005,-0.72099644,-0.9209996,-0.08499995,-1.185496,-0.26750165,-0.61899996
0.5502131,0.15131827,0.7752695,-0.432477,-0.24150263,-0.6706165,1.2255286,-0.9897256,0.6022301,-2.0517774,-1.1469872,-1.3369868,-1.7465376,-1.2501146,-0.7728399,-0.5522012,-1.0898205,0.5555087,-0.3560195,-0.6065016
-1.2292228,-0.851814,0.18981415,1.1542302,-0.98528963,-0.8327228,-0.19635282,-0.6465277,-0.43722087,-1.340728,-0.7812028,-0.8225589,-0.9624032,-0.5054814,-0.92875445,-1.0029986,0.5446979,-1.0036143,-0.21091422,-0.65095973
-1.6919471,0.81169915,-0.011200875,-0.7861994,-1.3187987,-0.6025842,-1.3161993,-0.20250231,-1.241999,0.325104,1.8873191,-1.4025977,0.5542991,0.5146997,-1.4739646,0.32879925,0.6938005,-0.8044827,-2.529288,-0.1841003
-0.034579888,-0.9966531,-1.3000087,-0.14696442,-0.2160007,0.3717639,1.262106,-1.121278,-1.287133,-0.9315528,-1.1075146,-0.8658156,-2.6381474,-0.7056937,-0.53370863,-0.6870162,1.4934313,-0.9948149,0.01990486,-0.5263996
-1.2325675,-1.1159979,-1.822693,-1.1923956,-1.2839913,0.4781952,0.9500091,-2.0386736,-1.2333993,-1.2039986,-1.1429994,-0.94749904,-3.1769958,-1.4593991,-1.6292481,-0.7619994,2.953789,-2.0121956,0.23160188,-0.9365997
-1.2748256,-1.1043986,-1.8282936,-1.0797957,-1.3867044,0.5901647,1.0087732,-2.52131,-1.1463994,-1.4399986,-1.3729992,-1.1072993,-3.1291964,-1.2619992,-1.8618886,-0.8029996,2.7916453,-2.3077962,0.2814636,-1.0251995
-1.5436325,-1.5015982,-1.9092972,-1.3457978,-1.2367864,0.24566458,0.6174719,-2.230375,-0.90139955,-1.1999991,-1.1469994,-0.97099954,-3.068997,-1.0309994,-1.8182012,-0.8559997,2.6917589,-2.158197,0.6680671,-0.9199997
-2.594992,-0.7663991,0.23760004,-0.42920068,-1.2649992,-0.881296,-1.2139993,-0.62519807,-0.5387006,-0.48670065,-0.38490057,-0.41640028,-0.32400218,-0.43490037,-0.69079703,-0.5322,-0.571,-1.7188951,-0.41659945,-0.4197002
-2.657993,-0.6743991,-0.61399996,-0.57600003,-1.1809994,-1.103796,-0.9799996,-0.3086005,0.113000005,-0.2968007,-0.28700054,-0.5310003,-0.46259722,-0.3420003,-0.9571972,0.28039986,-0.64099985,-0.77019674,-0.93299854,-0.6443999
-0.089078456,-0.38796198,-0.8437725,-0.06958145,0.100116506,-0.2924657,0.9705499,-0.35899,-1.0395935,-0.8234956,-1.3150935,-0.89819646,-2.5626664,-1.3283966,-0.28653014,-1.0079969,1.5366783,-1.6206198,-0.033300716,-0.42170104
-0.116264984,-0.7465999,-1.1220849,-0.015800614,0.12979566,-1.1819781,1.562047,-0.8832921,-0.9181992,-1.5739986,-1.6339984,-1.1914995,-3.5484958,-1.1579993,-0.3666931,-1.0109994,0.7258217,-1.9582936,-0.46319395,-0.7759998
-2.7547934,-0.97939897,-0.12470065,-0.31380036,1.1934112,-0.56559604,0.325396,0.015201146,-0.557,-1.0799996,-0.8949996,-0.7559999,-2.2429984,-0.70399994,-0.78749716,-0.8423998,-1.1931964,-1.6623982,-0.89479494,-0.84799963
1.2031451,-0.37553698,-0.45379665,0.44723907,0.68678206,-0.5776418,-0.0019072276,-0.47773135,-0.31821766,-1.2017449,-2.0239658,-0.5114218,-0.9204444,-0.41621044,-0.4174632,0.11255961,0.928101,-0.39139515,-0.8027041,-0.16369885
-1.3229071,-0.9857986,-1.034696,-1.0509971,-0.7152185,0.5709987,0.8910058,-1.9172212,-1.0779995,-1.0379988,-1.1561993,-0.9333993,-2.5959954,-1.2839993,-1.3958652,-0.8293995,2.2175071,-1.9679976,0.15380022,-0.6600001
-2.2326002,-1.6399984,-1.531799,-1.2535992,-0.92159724,-0.02200156,0.8490026,-2.1159956,-1.0169997,-0.93999964,-0.99599963,-0.8879998,-2.0869982,-0.9399997,-1.6113837,-0.9149998,2.3080034,-1.852798,0.2850002,-0.7019999
